일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm)
1999-08-01 7:00,25.9,21.6,1.7,0
1999-08-01 8:00,25.9,1.1,1.4,0
1999-08-01 9:00,26.4,294.5,1.3,0
1999-08-01 10:00,26.8,300.4,1.8,0
1999-08-01 11:00,28.3,54.5,1.8,0
1999-08-01 12:00,29.3,344.4,1.8,0
1999-08-01 13:00,29.9,272.2,2.1,0
1999-08-01 14:00,30.2,30.3,2.2,0
1999-08-01 15:00,29,232.4,1.8,0
1999-08-01 16:00,29.1,66.3,1.3,0
1999-08-01 17:00,28,134.7,1.3,0
1999-08-01 18:00,28.3,63.1,1,0
1999-08-01 19:00,27.6,137.9,1.1,0
1999-08-01 20:00,27,109.1,1.9,0
1999-08-01 21:00,26.8,132.7,2.1,0
1999-08-01 22:00,26.2,,,0
1999-08-01 23:00,26.6,82.6,0.7,0
1999-08-02 0:00,25.8,108.6,4.5,1
1999-08-02 1:00,25.4,23.8,0.8,1
1999-08-02 2:00,24.9,106,4.1,1
1999-08-02 3:00,25,129,2.5,1
1999-08-02 4:00,25.2,298.8,0.8,1
1999-08-02 5:00,25.3,119.4,3.9,1
1999-08-02 6:00,25.4,112.6,4.8,1
1999-08-02 7:00,25.7,143.2,3.8,1
1999-08-02 8:00,25.9,106.3,5.4,1
1999-08-02 9:00,27.6,113.7,4.6,1
1999-08-02 10:00,27.4,157.2,5.1,1
1999-08-02 11:00,29.2,114.2,4.7,1
1999-08-02 12:00,27.3,109,5.9,1
1999-08-02 13:00,27.5,103,6.7,1
1999-08-02 14:00,27.2,107,5.9,1
1999-08-02 15:00,28.2,95.3,4.9,1
1999-08-02 16:00,28.3,114,4.5,1
1999-08-02 17:00,26.5,148.2,5.2,1
1999-08-02 18:00,26.4,115.1,5.3,1
1999-08-02 19:00,26.2,111.6,5.5,1
1999-08-02 20:00,26,110.6,5,1
1999-08-02 21:00,25.9,124.8,4.8,1
1999-08-02 22:00,26,115.1,5.4,1
1999-08-02 23:00,26.2,107.9,5,1
1999-08-03 0:00,26.3,112.3,7,38.5
1999-08-03 1:00,26,111.9,5.5,38.5
1999-08-03 2:00,26.1,121.9,5,38.5
1999-08-03 3:00,25.4,111,4.9,38.5
1999-08-03 4:00,25.5,100.3,5.1,38.5
1999-08-03 5:00,25.1,90.9,4.6,38.5
1999-08-03 6:00,24.7,124.6,2.9,38.5
1999-08-03 7:00,24.9,93,3.7,38.5
1999-08-03 8:00,24.8,4.1,3.7,38.5
1999-08-03 9:00,25.2,308.2,3.3,38.5
1999-08-03 10:00,25.6,178.9,5.1,38.5
1999-08-03 11:00,25.3,155,5.1,38.5
1999-08-03 12:00,24.4,237.5,3.7,38.5
1999-08-03 13:00,26.4,160.1,7.2,38.5
1999-08-03 14:00,26.9,147.1,8.1,38.5
1999-08-03 15:00,26.6,152.2,8.9,38.5
1999-08-03 16:00,25.8,139.7,8.8,38.5
1999-08-03 17:00,25.9,125.4,8.5,38.5
1999-08-03 18:00,23.6,66.5,4,38.5
1999-08-03 19:00,23.8,28.9,3.7,38.5
1999-08-03 20:00,24.3,24.2,2.5,38.5
1999-08-03 21:00,24.5,42.5,1.9,38.5
1999-08-03 22:00,23.2,120.1,2.1,38.5
1999-08-03 23:00,22.3,22.7,1.4,38.5
1999-08-04 0:00,22.2,167.4,1.2,127
1999-08-04 1:00,22.1,179,0.4,127
1999-08-04 2:00,21.4,0,0,127
1999-08-04 3:00,21,174.8,0.6,127
1999-08-04 4:00,20.9,56,0.3,127
1999-08-04 5:00,21,0,0.1,127
1999-08-04 6:00,20.8,0.2,0.3,127
1999-08-04 7:00,21.4,155.3,0.5,127
1999-08-04 8:00,21.6,260.8,0.3,127
1999-08-04 9:00,21.5,0,0.1,127
1999-08-04 10:00,21.4,42.3,0.3,127
1999-08-04 11:00,21.6,229.1,0.4,127
1999-08-04 12:00,21.8,54,1.4,127
1999-08-04 13:00,20.8,356.5,2.1,127
1999-08-04 14:00,21.1,325.6,0.9,127
1999-08-04 15:00,21.6,0,0.2,127
1999-08-04 16:00,22.8,0,0,127
1999-08-04 17:00,21.6,112.4,0.9,127
1999-08-04 18:00,22.5,248,0.5,127
1999-08-04 19:00,21.8,347.4,0.5,127
1999-08-04 20:00,22,128.8,1,127
1999-08-04 21:00,22,121.5,1.3,127
1999-08-04 22:00,22.5,233.1,1.5,127
1999-08-04 23:00,22,339,0.7,127
1999-09-09 0:00,24.5,0,0,0
1999-09-09 1:00,24.1,0,0,0
1999-09-09 2:00,23.4,130.9,0.3,0
1999-09-09 3:00,23.8,0,0.2,0
1999-09-09 4:00,23.1,0,0,0
1999-09-09 5:00,22.6,0,0,0
1999-09-09 6:00,22.8,0,0,0
1999-09-09 7:00,22.2,301.3,0.3,0
1999-09-09 8:00,24.5,55.7,0.6,0
1999-09-09 9:00,25.4,60.9,0.9,0
1999-09-09 10:00,27.9,283.9,0.6,0
1999-09-09 11:00,28.9,292,0.9,0
1999-09-09 12:00,29.3,258.8,1,0
1999-09-09 13:00,30.1,319,0.7,0
1999-09-09 14:00,30.9,33.8,1,0
1999-09-09 15:00,29.1,134.1,1.2,0
1999-09-09 16:00,29.7,106.8,1,0
1999-09-09 17:00,27.5,150.4,1.4,0
1999-09-09 18:00,26.4,169.5,1.3,0
1999-09-09 19:00,26,175.8,1.3,0
1999-09-09 20:00,25.4,160.3,1.2,0
1999-09-09 21:00,25.1,139,1.3,0
1999-09-09 22:00,24.9,175.1,1.6,0
1999-09-09 23:00,24.9,168,1.8,0
1999-09-10 0:00,24.9,,,44
1999-09-10 1:00,25,,,44
1999-09-10 2:00,24.8,,,44
1999-09-10 3:00,24.8,177.1,0.9,44
1999-09-10 4:00,23.8,26.8,1.1,44
1999-09-10 5:00,24.4,98.5,1.5,44
1999-09-10 6:00,25,135.8,3.3,44
1999-09-10 7:00,,,,44
1999-09-10 10:00,25.7,78.9,1.2,44
1999-09-10 11:00,25.9,41.6,1.6,44
1999-09-10 12:00,26.6,,,44
1999-09-10 13:00,29.2,11.6,2.4,44
1999-09-10 14:00,29.6,285.8,1.4,44
1999-09-10 15:00,28.3,29.7,1.6,44
1999-09-10 16:00,28.9,21.5,1.2,44
1999-09-10 17:00,28,154.4,1.3,44
1999-09-10 18:00,26.7,178.1,1.8,44
1999-09-10 19:00,26.2,175.7,1.9,44
1999-09-10 20:00,25.9,180.6,2.7,44
1999-09-10 21:00,25.4,185.6,2.4,44
1999-09-10 22:00,25.1,193.2,1.2,44
1999-09-10 23:00,24.9,0,0.1,44
1999-10-10 0:00,18.4,348.6,1.5,3.5
1999-10-10 1:00,16.8,240.4,0.7,3.5
1999-10-10 2:00,16.5,337,1,3.5
1999-10-10 3:00,17.7,350.7,1.7,3.5
1999-10-10 4:00,17.5,333.7,0.9,3.5
1999-10-10 5:00,16.4,19.1,0.5,3.5
1999-10-10 6:00,16.6,343.5,0.8,3.5
1999-10-10 7:00,17.3,42.2,0.7,3.5
1999-10-10 8:00,17.8,354.2,0.8,3.5
1999-10-10 9:00,19.1,355.1,1.9,3.5
1999-10-10 10:00,20,347.3,1.5,3.5
1999-10-10 11:00,20.9,3.3,2.2,3.5
1999-10-10 12:00,21.7,38.5,1.8,3.5
1999-10-10 13:00,21,26,3.7,3.5
1999-10-10 14:00,20.3,93,4.1,3.5
1999-10-10 15:00,20.2,84.5,7.8,3.5
1999-10-10 16:00,19.6,73.1,6.1,3.5
1999-10-10 17:00,20,82.1,5.3,3.5
1999-10-10 18:00,20.1,79.3,4.1,3.5
1999-10-10 19:00,19.5,108.8,5.4,3.5
1999-10-10 20:00,18.7,103.6,4,3.5
1999-10-10 21:00,19.6,91.6,4.7,3.5
1999-10-10 22:00,19.8,99.5,2.9,3.5
1999-10-10 23:00,20.7,115.5,1.9,3.5
1999-10-11 0:00,19.6,210.2,0.3,94
1999-10-11 1:00,20.9,93.6,1.7,94
1999-10-11 2:00,23.3,107.2,3.2,94
1999-10-11 3:00,22.9,30.9,2.9,94
1999-10-11 4:00,22.6,90.7,3,94
1999-10-11 5:00,23.3,50.7,2.7,94
1999-10-11 6:00,23.4,1.8,2.8,94
1999-10-11 7:00,23.3,75.5,2.9,94
1999-10-11 8:00,23.4,100,3.2,94
1999-10-11 9:00,21.4,72.7,2.2,94
1999-10-11 10:00,21.6,68.6,0.8,94
1999-10-11 11:00,21.8,91.3,1.3,94
1999-10-11 12:00,21.9,250.9,1.1,94
1999-10-11 13:00,22.3,19.2,1,94
1999-10-11 14:00,22.5,130.7,1,94
1999-10-11 15:00,22.5,161.3,1.8,94
1999-10-11 16:00,22.6,0,0.1,94
1999-10-11 17:00,22.1,94.7,0.6,94
1999-10-11 18:00,21.4,317.5,0.9,94
1999-10-11 19:00,20.8,349.8,0.8,94
1999-10-11 20:00,20.4,28.5,0.3,94
1999-10-11 21:00,20.3,0,0.1,94
1999-10-11 22:00,19.5,0,0.1,94
1999-10-11 23:00,19.3,20.8,0.6,94
2000-07-14 0:00,24.1,145.4,0.9,20.5
2000-07-14 1:00,23.5,181.7,1.2,20.5
2000-07-14 2:00,23.3,164.4,1.5,20.5
2000-07-14 3:00,23.2,153.6,1.6,20.5
2000-07-14 4:00,22.8,172.9,2,20.5
2000-07-14 5:00,22.8,172.7,1.9,20.5
2000-07-14 6:00,23,159.3,0.9,20.5
2000-07-14 7:00,23.5,160.7,1.7,20.5
2000-07-14 8:00,23.5,118.3,0.5,20.5
2000-07-14 9:00,22.8,157,1.2,20.5
2000-07-14 10:00,24,169.7,1.1,20.5
2000-07-14 11:00,26.9,129,0.4,20.5
2000-07-14 12:00,25.3,249.2,1.2,20.5
2000-07-14 13:00,24.6,263.3,0.9,20.5
2000-07-14 14:00,24.4,320.3,1,20.5
2000-07-14 15:00,23.7,107,1.1,20.5
2000-07-14 16:00,23.8,2.5,2.5,20.5
2000-07-14 17:00,23.7,129.6,1.9,20.5
2000-07-14 18:00,23.2,67.4,1.9,20.5
2000-07-14 19:00,22.4,36.3,2.2,20.5
2000-07-14 20:00,21.8,344.1,1.4,20.5
2000-07-14 21:00,21.7,180.4,0.7,20.5
2000-07-14 22:00,21.2,36.7,0.5,20.5
2000-07-14 23:00,22.6,154.7,0.4,20.5
2000-07-15 0:00,22.7,131.8,0.9,22
2000-07-15 1:00,22.8,125.3,1.2,22
2000-07-15 2:00,22.9,161.3,0.8,22
2000-07-15 3:00,23.4,142.5,3,22
2000-07-15 4:00,23.6,174.5,1.8,22
2000-07-15 5:00,23,79.4,0.6,22
2000-07-15 6:00,23.1,43.5,1.4,22
2000-07-15 7:00,23.1,51.3,1.5,22
2000-07-15 8:00,22.8,34.9,1.4,22
2000-07-15 9:00,23,3.8,1.8,22
2000-07-15 10:00,23.4,29.3,1.2,22
2000-07-15 11:00,23.6,52.1,1.9,22
2000-07-15 12:00,23.3,94.2,1.8,22
2000-07-15 13:00,23.7,103.8,2,22
2000-07-15 14:00,24.3,64.1,1.4,22
2000-07-15 15:00,25.1,46.8,0.8,22
2000-07-15 16:00,24.5,25.8,2.5,22
2000-07-15 17:00,23.8,58.2,1.3,22
2000-07-15 18:00,24.3,98.6,1.2,22
2000-07-15 19:00,24.3,27.3,1.1,22
2000-07-15 20:00,24,89.5,1.3,22
2000-07-15 21:00,23.8,27,1.6,22
2000-07-15 22:00,23.4,89.5,1,22
2000-07-15 23:00,23.4,95,1.1,22
2000-08-23 0:00,23.4,0,0,0
2000-08-23 1:00,23.3,0,0,0
2000-08-23 2:00,23,0,0,0
2000-08-23 3:00,22.5,0,0,0
2000-08-23 4:00,22.1,0,0,0
2000-08-23 5:00,21.9,0,0,0
2000-08-23 6:00,21.4,0,0,0
2000-08-23 7:00,21.3,0,0,0
2000-08-23 8:00,24.2,0,0,0
2000-08-23 9:00,25.1,0,0,0
2000-08-23 10:00,27.4,0,0,0
2000-08-23 11:00,28.5,0,0,0
2000-08-23 12:00,28.8,0,0,0
2000-08-23 13:00,29.6,0,0.1,0
2000-08-23 14:00,29.3,0,0,0
2000-08-23 15:00,29,0,0.1,0
2000-08-23 16:00,30.2,0,0,0
2000-08-23 17:00,29.3,0,0,0
2000-08-23 18:00,27.7,0,0.1,0
2000-08-23 19:00,26.2,0,0,0
2000-08-23 20:00,26,0,0,0
2000-08-23 21:00,25.4,0,0,0
2000-08-23 22:00,25.5,0,0,0
2000-08-23 23:00,24.7,0,0,0
2000-08-24 0:00,24.6,0,0,2.5
2000-08-24 1:00,24.6,0,0,2.5
2000-08-24 2:00,24.5,0,0,2.5
2000-08-24 3:00,24.5,0,0,2.5
2000-08-24 4:00,23.8,0,0,2.5
2000-08-24 5:00,23.3,0,0,2.5
2000-08-24 6:00,23.9,0,0,2.5
2000-08-24 7:00,24.3,0,0,2.5
2000-08-24 8:00,23.1,0,0,2.5
2000-08-24 9:00,24.8,0,0,2.5
2000-08-24 10:00,24.5,0,0,2.5
2000-08-24 11:00,27,0,0,2.5
2000-08-24 12:00,27.6,0,0,2.5
2000-08-24 13:00,29.6,0,0,2.5
2000-08-24 14:00,28.1,0,0,2.5
2000-08-24 15:00,27.8,0,0,2.5
2000-08-24 16:00,28.5,0,0,2.5
2000-08-24 17:00,29.1,0,0,2.5
2000-08-24 18:00,27.1,0,0,2.5
2000-08-24 19:00,26.2,0,0,2.5
2000-08-24 20:00,26.1,0,0,2.5
2000-08-24 21:00,25.8,0,0,2.5
2000-08-24 22:00,26,0,0,2.5
2000-08-24 23:00,26,0,0,2.5
2000-08-25 0:00,24.8,0,0,39.5
2000-08-25 1:00,23.9,0,0,39.5
2000-08-25 2:00,23.9,0,0,39.5
2000-08-25 3:00,23.9,0,0,39.5
2000-08-25 4:00,23,0,0,39.5
2000-08-25 5:00,23,0,0,39.5
2000-08-25 6:00,23.5,0,0,39.5
2000-08-25 7:00,23.7,0,0,39.5
2000-08-25 8:00,24.1,0,0.2,39.5
2000-08-25 9:00,23.7,146.3,1.3,39.5
2000-08-25 10:00,24.1,0,0,39.5
2000-08-25 11:00,24.6,150.4,1,39.5
2000-08-25 12:00,25.9,0,0,39.5
2000-08-25 13:00,27.2,0,0.1,39.5
2000-08-25 14:00,27.9,37.2,0.7,39.5
2000-08-25 15:00,27.2,297.6,0.7,39.5
2000-08-25 16:00,27.1,36.9,0.5,39.5
2000-08-25 17:00,25.2,0,0,39.5
2000-08-25 18:00,23.4,0,0,39.5
2000-08-25 19:00,20.9,0,0,39.5
2000-08-25 20:00,21.8,0,0,39.5
2000-08-25 21:00,21.3,0,0,39.5
2000-08-25 22:00,21.1,0,0,39.5
2000-08-25 23:00,22,0,0,39.5
2000-08-26 0:00,21.6,0,0,105
2000-08-26 1:00,21.8,0,0,105
2000-08-26 2:00,22,0,0,105
2000-08-26 3:00,21.8,0,0,105
2000-08-26 4:00,21.8,0,0,105
2000-08-26 5:00,21.7,0,0,105
2000-08-26 6:00,21.7,0,0,105
2000-08-26 7:00,21.7,0,0,105
2000-08-26 8:00,22.6,0,0,105
2000-08-26 9:00,22.5,0,0,105
2000-08-26 10:00,23.1,0,0,105
2000-08-26 11:00,22.5,0,0,105
2000-08-26 12:00,23.8,0,0,105
2000-08-26 13:00,23.9,0,0,105
2000-08-26 14:00,23.2,0,0,105
2000-08-26 15:00,24.8,0,0,105
2000-08-26 16:00,25.8,0,0.2,105
2000-08-26 17:00,25.9,126,1.2,105
2000-08-26 18:00,25.9,166.9,0.6,105
2000-08-26 19:00,25.5,102.1,0.4,105
2000-08-26 20:00,25.4,0,0.1,105
2000-08-26 21:00,25.7,0,0,105
2000-08-26 22:00,25.8,0,0,105
2000-08-26 23:00,25.6,0,0,105
2000-08-27 0:00,25.6,0,0,0
2000-08-27 1:00,25.7,0,0,0
2000-08-27 2:00,25.6,0,0,0
2000-08-27 3:00,25.4,0,0,0
2000-08-27 4:00,24.7,0,0,0
2000-08-27 5:00,25.2,0,0,0
2000-08-27 6:00,25.1,0,0,0
2000-08-27 7:00,25.1,0,0,0
2000-08-27 8:00,25.9,0,0,0
2000-08-27 9:00,26.8,0,0,0
2000-08-27 10:00,27.5,0,0,0
2000-08-27 11:00,27.5,0,0,0
2000-08-27 12:00,29.1,0,0,0
2000-08-27 13:00,29.1,0,0,0
2000-08-27 14:00,30,0,0,0
2000-08-27 15:00,29.4,0,0,0
2000-08-27 16:00,29.6,0,0,0
2000-08-27 17:00,29.3,0,0,0
2000-08-27 18:00,27.4,0,0,0
2000-08-27 19:00,26.4,0,0,0
2000-08-27 20:00,25.6,0,0,0
2000-08-27 21:00,25.5,0,0,0
2000-08-27 22:00,25.2,0,0,0
2000-08-27 23:00,25.6,0,0,0
2000-08-28 0:00,25.7,0,0,0
2000-08-28 1:00,24.6,0,0,0
2000-08-28 2:00,24.1,0,0,0
2000-08-28 3:00,23.8,0,0,0
2000-08-28 4:00,23.8,0,0,0
2000-08-28 5:00,24.2,0,0,0
2000-08-28 6:00,23.3,0,0,0
2000-08-28 7:00,23.8,0,0,0
2000-08-28 8:00,25.4,0,0,0
2000-08-28 9:00,27.1,0,0,0
2000-08-28 10:00,29.6,0,0,0
2000-08-28 11:00,29.3,0,0,0
2000-08-28 12:00,29.3,0,0,0
2000-08-28 13:00,29.4,0,0,0
2000-08-28 14:00,29.9,0,0,0
2000-08-28 15:00,30.4,0,0,0
2000-08-28 16:00,29,0,0,0
2000-08-28 17:00,29.8,0,0,0
2000-08-28 18:00,28.3,0,0,0
2000-08-28 19:00,26.6,0,0,0
2000-08-28 20:00,26.5,0,0,0
2000-08-28 21:00,26.3,0,0,0
2000-08-28 22:00,25.5,0,0,0
2000-08-28 23:00,26.1,0,0,0
2000-08-29 0:00,25.9,0,0,0
2000-08-29 1:00,25.9,0,0,0
2000-08-29 2:00,25.7,0,0,0
2000-08-29 3:00,26,0,0,0
2000-08-29 4:00,25.6,0,0,0
2000-08-29 5:00,25.4,0,0,0
2000-08-29 6:00,25.2,0,0,0
2000-08-29 7:00,25.3,0,0,0
2000-08-29 8:00,25.8,0,0,0
2000-08-29 9:00,27,0,0,0
2000-08-29 10:00,27.2,0,0,0
2000-08-29 11:00,29.6,0,0,0
2000-08-29 12:00,29.9,0,0,0
2000-08-29 13:00,29.8,0,0,0
2000-08-29 14:00,30.4,0,0,0
2000-08-29 15:00,30.7,0,0,0
2000-08-29 16:00,30.1,0,0,0
2000-08-29 17:00,28.6,0,0,0
2000-08-29 18:00,26.9,0,0,0
2000-08-29 19:00,26.1,0,0,0
2000-08-29 20:00,25.8,0,0,0
2000-08-29 21:00,26.3,0,0,0
2000-08-29 22:00,26.1,0,0,0
2000-08-29 23:00,25.6,0,0,0
2000-08-30 0:00,25.9,0,0,1.5
2000-08-30 1:00,25,0,0,1.5
2000-08-30 2:00,25.5,0,0,1.5
2000-08-30 3:00,24.9,0,0,1.5
2000-08-30 4:00,24.6,0,0,1.5
2000-08-30 5:00,24,0,0,1.5
2000-08-30 6:00,23.8,0,0,1.5
2000-08-30 7:00,24,0,0,1.5
2000-08-30 8:00,25.4,0,0,1.5
2000-08-30 9:00,26.8,0,0,1.5
2000-08-30 10:00,27.4,0,0,1.5
2000-08-30 11:00,27.9,0,0,1.5
2000-08-30 12:00,28.1,0,0,1.5
2000-08-30 13:00,29.6,0,0,1.5
2000-08-30 14:00,28.9,0,0,1.5
2000-08-30 15:00,29,0,0,1.5
2000-08-30 16:00,29.1,0,0,1.5
2000-08-30 17:00,,,,1.5
2000-08-30 18:00,27.2,350.9,3,1.5
2000-08-30 19:00,26.5,329.9,3.3,1.5
2000-08-30 20:00,26,26.6,4.9,1.5
2000-08-30 21:00,26,4.8,4.9,1.5
2000-08-30 22:00,25.8,76.6,3.9,1.5
2000-08-30 23:00,25.9,106.3,5,1.5
2000-08-31 0:00,26,359.3,3.3,23.5
2000-08-31 1:00,26.1,327.4,2.9,23.5
2000-08-31 2:00,25.8,342.3,3.2,23.5
2000-08-31 3:00,25.9,119.4,3.4,23.5
2000-08-31 4:00,25.2,355.9,2.6,23.5
2000-08-31 5:00,25.2,159.8,3.9,23.5
2000-08-31 6:00,25.8,154.2,4.4,23.5
2000-08-31 7:00,25.9,176.4,3.1,23.5
2000-08-31 8:00,26,169.3,3.8,23.5
2000-08-31 9:00,26.5,151.7,4.5,23.5
2000-08-31 10:00,26.3,150.3,5.4,23.5
2000-08-31 11:00,26,163.7,3.3,23.5
2000-08-31 12:00,25.3,135.3,4.6,23.5
2000-08-31 13:00,25.9,137,5.3,23.5
2000-08-31 14:00,25.6,139.7,6,23.5
2000-08-31 15:00,25.9,136.5,3.9,23.5
2000-08-31 16:00,26.4,117.5,10.3,23.5
2000-08-31 17:00,26.9,110.6,9,23.5
2000-08-31 18:00,26.4,114,8.3,23.5
2000-08-31 19:00,26.3,105.8,8.3,23.5
2000-08-31 20:00,26.5,42.2,5.1,23.5
2000-08-31 21:00,26.7,47.7,4,23.5
2000-08-31 22:00,26.3,1.9,4,23.5
2000-08-31 23:00,26.2,6.8,3.7,23.5
2000-09-01 0:00,26.2,18,3.4,0
2000-09-01 1:00,26,20.8,2.9,0
2000-09-01 2:00,25.8,258.6,2.3,0
2000-09-01 3:00,25.2,95.6,1.8,0
2000-09-01 4:00,25.2,97.1,2.7,0
2000-09-01 5:00,25.3,69,1.8,0
2000-09-01 6:00,24.9,34.3,2,0
2000-09-01 7:00,24.8,32.4,1.8,0
2000-09-01 8:00,25.4,351.7,2.1,0
2000-09-01 9:00,26.9,291,2.2,0
2000-09-01 10:00,27.4,69.4,1.7,0
2000-09-01 11:00,27.8,295.7,1.6,0
2000-09-01 12:00,28.5,263.6,2.6,0
2000-09-01 13:00,28.8,264.2,2.4,0
2000-09-01 14:00,30.1,79,1.5,0
2000-09-01 15:00,30.3,86.1,2.2,0
2000-09-01 16:00,29.2,147,2.6,0
2000-09-01 17:00,28.5,344.7,1.7,0
2000-09-01 18:00,27.4,82.1,2.1,0
2000-09-01 19:00,27.1,26.7,1.5,0
2000-09-01 20:00,26.2,110.1,1.5,0
2000-09-01 21:00,25.4,128.7,1.9,0
2000-09-01 22:00,25.2,,,0
2000-09-01 23:00,24.9,122.6,2.6,0
2000-09-12 0:00,20,23.5,5.1,0.5
2000-09-12 1:00,20.1,11.3,6.9,0.5
2000-09-12 2:00,20.2,6.8,4.3,0.5
2000-09-12 3:00,20.2,7.8,5,0.5
2000-09-12 4:00,19.1,346.5,3.2,0.5
2000-09-12 5:00,19.5,346.8,3.8,0.5
2000-09-12 6:00,19,3.3,3.3,0.5
2000-09-12 7:00,19.2,349.8,3.4,0.5
2000-09-12 8:00,19.5,339,6.3,0.5
2000-09-12 9:00,19.9,0.8,5.8,0.5
2000-09-12 10:00,20.3,12.7,5.5,0.5
2000-09-12 11:00,20.2,43.9,4.5,0.5
2000-09-12 12:00,20.6,49.1,6.8,0.5
2000-09-12 13:00,20.3,61.1,8.7,0.5
2000-09-12 14:00,20.1,31.9,5.7,0.5
2000-09-12 15:00,19.1,22.7,5.6,0.5
2000-09-12 16:00,18.7,40,6,0.5
2000-09-12 17:00,17.3,347.9,4.9,0.5
2000-09-12 18:00,17.5,356.5,5.3,0.5
2000-09-12 19:00,17.8,6.2,7.9,0.5
2000-09-12 20:00,17.4,2.7,4.6,0.5
2000-09-12 21:00,16.3,351.3,5.1,0.5
2000-09-12 22:00,17.1,351.9,5.4,0.5
2000-09-12 23:00,16.5,359,4.6,0.5
2000-09-13 0:00,16.3,2.7,4.8,26.5
2000-09-13 1:00,16.2,9.8,5.1,26.5
2000-09-13 2:00,16.3,27.9,3.8,26.5
2000-09-13 3:00,16.2,3.3,3.6,26.5
2000-09-13 4:00,16.5,337.4,3.5,26.5
2000-09-13 5:00,15.9,0.6,4.7,26.5
2000-09-13 6:00,16.8,357,7,26.5
2000-09-13 7:00,17.1,8,4.7,26.5
2000-09-13 8:00,16.2,344.4,6.3,26.5
2000-09-13 9:00,16.4,27.3,5.4,26.5
2000-09-13 10:00,15.5,349.1,4.5,26.5
2000-09-13 11:00,15.3,15,4.5,26.5
2000-09-13 12:00,15.4,40.2,2.2,26.5
2000-09-13 13:00,16.5,358.1,3.7,26.5
2000-09-13 14:00,16.5,8.6,3.7,26.5
2000-09-13 15:00,16.5,356.4,3.7,26.5
2000-09-13 16:00,16.3,5.8,3.5,26.5
2000-09-13 17:00,16.2,356.4,3.4,26.5
2000-09-13 18:00,16.7,353.2,4.2,26.5
2000-09-13 19:00,16.1,351.2,4.4,26.5
2000-09-13 20:00,16.1,356.3,4.7,26.5
2000-09-13 21:00,16.5,29.7,4.9,26.5
2000-09-13 22:00,16.7,30.8,4.3,26.5
2000-09-13 23:00,17.3,66.8,5.8,26.5
2000-09-14 0:00,17.3,29.4,4.8,22.5
2000-09-14 1:00,17.6,350.4,3.5,22.5
2000-09-14 2:00,17.4,9.4,4.2,22.5
2000-09-14 3:00,17.6,359.3,3.3,22.5
2000-09-14 4:00,18,36.6,5.3,22.5
2000-09-14 5:00,18,19.7,4.2,22.5
2000-09-14 6:00,18.6,56.7,7,22.5
2000-09-14 7:00,17.7,3.8,4.3,22.5
2000-09-14 8:00,18,19.4,5.1,22.5
2000-09-14 9:00,18,3.5,3.9,22.5
2000-09-14 10:00,19.4,41,3.7,22.5
2000-09-14 11:00,20.3,359.9,4.9,22.5
2000-09-14 12:00,21.2,25.5,5.6,22.5
2000-09-14 13:00,21.2,7.5,5.7,22.5
2000-09-14 14:00,20.5,40,6.5,22.5
2000-09-14 15:00,20.3,358.4,6,22.5
2000-09-14 16:00,20.4,356.7,4.2,22.5
2000-09-14 17:00,20.4,357.4,4.1,22.5
2000-09-14 18:00,20.3,13.7,3.1,22.5
2000-09-14 19:00,19.7,351.9,3.5,22.5
2000-09-14 20:00,18,347.7,2.9,22.5
2000-09-14 21:00,18.7,341.2,3.9,22.5
2000-09-14 22:00,19.3,50,5.1,22.5
2000-09-14 23:00,19.1,5.4,2.8,22.5
2000-09-15 0:00,19.1,30.9,4.4,12.5
2000-09-15 1:00,19.3,32.5,3.3,12.5
2000-09-15 2:00,19,350,4.6,12.5
2000-09-15 3:00,19.1,358.7,4.1,12.5
2000-09-15 4:00,19.3,347.5,4.1,12.5
2000-09-15 5:00,19.4,19.1,4.4,12.5
2000-09-15 6:00,19.2,22.9,2.9,12.5
2000-09-15 7:00,19,19.3,3.6,12.5
2000-09-15 8:00,19.5,16.6,3.7,12.5
2000-09-15 9:00,19.4,21.5,5.3,12.5
2000-09-15 10:00,19.2,359.2,2.5,12.5
2000-09-15 11:00,21.4,54.5,5,12.5
2000-09-15 12:00,19.8,1.5,3.6,12.5
2000-09-15 13:00,20.7,24.9,4.1,12.5
2000-09-15 14:00,21,24.4,4.3,12.5
2000-09-15 15:00,19.4,352.2,3,12.5
2000-09-15 16:00,22.6,74.5,6.6,12.5
2000-09-15 17:00,20.7,338.4,2.4,12.5
2000-09-15 18:00,22.7,44.8,5.6,12.5
2000-09-15 19:00,22.4,43.4,7.4,12.5
2000-09-15 20:00,21.7,39.6,6.6,12.5
2000-09-15 21:00,21,5.9,7.1,12.5
2000-09-15 22:00,21.2,47.5,8.8,12.5
2000-09-15 23:00,21,16.8,6.8,12.5
2000-09-16 0:00,20.9,15.7,6.2,71
2000-09-16 1:00,20.3,17.9,6.7,71
2000-09-16 2:00,20.5,341.9,6.8,71
2000-09-16 3:00,20.7,338.5,7.4,71
2000-09-16 4:00,21.3,332.2,6.8,71
2000-09-16 5:00,22.6,306.6,8,71
2000-09-16 6:00,21,125.5,17.5,71
2000-09-16 7:00,20.3,92.6,4.6,71
2000-09-16 8:00,19.7,14.3,3.7,71
2000-09-16 9:00,19.9,3.1,2.6,71
2000-09-16 10:00,19.9,284.1,2.3,71
2000-09-16 11:00,19.7,342.4,2.2,71
2000-09-16 12:00,19.7,80.9,2.7,71
