일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm)
1998-06-28 9:00,23.5,203.6,1.1,11.5
1998-06-28 10:00,23,191,1.3,11.5
1998-06-28 11:00,22.2,176.9,1.6,11.5
1998-06-28 12:00,22.9,246.4,0.9,11.5
1998-06-28 13:00,23.3,240.4,1.4,11.5
1998-06-28 14:00,23.6,182.2,1.2,11.5
1998-06-28 15:00,23.8,203.7,0.7,11.5
1998-06-28 16:00,23.6,233.6,0.4,11.5
1998-06-28 17:00,25.2,146.5,1.5,11.5
1998-06-28 18:00,25.8,218.6,0.9,11.5
1998-06-28 19:00,24.1,215.1,0.9,11.5
1998-06-28 20:00,23.1,240.2,0.7,11.5
1998-06-28 21:00,23,182.6,0.5,11.5
1998-06-28 22:00,22.6,266.7,0.3,11.5
1998-06-28 23:00,22.9,0,0.2,11.5
1998-06-29 0:00,22.5,236.6,0.4,0
1998-06-29 1:00,22.7,238.8,0.5,0
1998-06-29 2:00,22.5,0,0.1,0
1998-06-29 3:00,22.7,191.3,0.7,0
1998-06-29 4:00,21.7,146.3,0.3,0
1998-06-29 5:00,21.6,243.2,0.4,0
1998-06-29 6:00,21.5,246.1,0.3,0
1998-06-29 7:00,23,0,0.2,0
1998-06-29 8:00,24.2,45.3,0.6,0
1998-06-29 9:00,25.8,355.4,0.6,0
1998-06-29 10:00,27.7,57.9,1.1,0
1998-06-29 11:00,29.8,141.5,1.2,0
1998-06-29 12:00,29,247.6,2.1,0
1998-06-29 13:00,30.3,254,1.6,0
1998-06-29 14:00,29.5,230.3,2.1,0
1998-06-29 15:00,28.6,242.2,2.7,0
1998-06-29 16:00,28.6,228,2.6,0
1998-06-29 17:00,28.1,,,0
1998-06-29 18:00,26.5,,,0
1998-06-29 19:00,25.8,6.7,0.8,0
1998-06-29 20:00,23.8,227,0.6,0
1998-06-29 21:00,23.3,0,0.1,0
1998-06-29 22:00,23.3,0,0.2,0
1998-06-29 23:00,23.2,164.4,1.3,0
1998-06-30 0:00,22.8,193.6,1.1,9
1998-06-30 1:00,22.5,185.3,0.6,9
1998-06-30 2:00,22.3,112.3,0.4,9
1998-06-30 3:00,21.9,195.3,2,9
1998-06-30 4:00,21.8,187.6,3,9
1998-06-30 5:00,21.6,199.8,0.6,9
1998-06-30 6:00,21.9,0,0.2,9
1998-06-30 7:00,22.4,295,0.4,9
1998-06-30 8:00,23,194.4,1.5,9
1998-06-30 9:00,24.6,194.6,0.8,9
1998-06-30 10:00,25.6,205.4,1.1,9
1998-06-30 11:00,25.5,221.4,1,9
1998-06-30 12:00,24.5,198.9,1.2,9
1998-06-30 13:00,24.9,271.7,0.7,9
1998-06-30 14:00,25.3,217.6,0.8,9
1998-06-30 15:00,23.8,191.9,0.9,9
1998-06-30 16:00,24,175.8,1.1,9
1998-06-30 17:00,24,245,0.5,9
1998-06-30 18:00,23.5,123.2,0.6,9
1998-06-30 19:00,23.4,132.1,3.2,9
1998-06-30 20:00,23.4,140,4.7,9
1998-06-30 21:00,23.8,131.3,4.1,9
